date,close,kdjk,kdjd,kdjj,signal,signal_2
1999-11-05,21.76,40.0868,41.5728,37.1149,-1.0,0.0
1999-11-08,22.51,57.7323,46.9593,79.2783,1.0,0.0
1999-11-09,22.25,61.3593,51.7593,80.5592,0.0,0.0
1999-11-10,21.69,55.1644,52.8943,59.7045,0.0,0.0
1999-11-11,21.86,54.31,53.3662,56.1975,0.0,0.0
1999-11-12,22.0,56.4379,54.3901,60.5334,0.0,0.0
1999-11-15,21.59,49.9566,52.9123,44.0454,-1.0,0.0
1999-11-16,21.17,37.5433,47.7893,17.0515,0.0,0.0
1999-11-17,21.4,33.6994,43.0927,14.9129,0.0,0.0
1999-11-18,21.4,31.1368,39.1074,15.1956,0.0,0.0
1999-11-19,21.32,27.887,35.3672,12.9264,0.0,0.0
1999-11-22,21.2,24.7641,31.8329,10.6267,0.0,0.0
1999-11-23,21.03,18.4847,27.3835,0.6872,0.0,0.0
1999-11-24,20.56,13.4343,22.7338,-5.1647,0.0,0.0
1999-11-25,20.41,14.9863,20.1513,4.6564,0.0,0.0
1999-11-26,20.3,14.1785,18.1604,6.2148,0.0,0.0
1999-11-29,19.9,10.2385,15.5197,-0.324,0.0,0.0
1999-11-30,19.69,8.3598,13.1331,-1.1867,0.0,0.0
1999-12-01,19.83,11.1504,12.4722,8.5068,0.0,0.0
1999-12-02,19.66,11.8554,12.2666,11.0329,0.0,0.0
1999-12-03,19.48,9.4264,11.3199,5.6395,0.0,0.0
1999-12-06,19.07,7.6994,10.113,2.8721,0.0,0.0
1999-12-07,19.0,8.9424,9.7228,7.3816,0.0,0.0
1999-12-08,19.0,9.7712,9.7389,9.8356,1.0,1.0
1999-12-09,18.74,7.3527,8.9435,4.171,-1.0,0.0
1999-12-10,19.16,19.8807,12.5892,34.4636,1.0,1.0
1999-12-13,19.0,24.8572,16.6785,41.2144,0.0,0.0
1999-12-14,19.04,29.6826,21.0132,47.0212,0.0,0.0
1999-12-15,19.63,47.8836,29.97,83.7108,0.0,0.0
1999-12-16,19.21,50.0176,36.6526,76.7478,0.0,0.0
1999-12-17,18.92,44.5356,39.2802,55.0463,0.0,0.0
1999-12-21,18.24,30.4985,36.353,18.7894,-1.0,0.0
1999-12-22,18.06,21.7583,31.4881,2.2988,0.0,0.0
1999-12-23,17.87,15.6438,26.2067,-5.482,0.0,0.0
1999-12-24,17.62,12.1313,21.5149,-6.6358,0.0,0.0
1999-12-27,17.06,8.7893,17.273,-8.1781,0.0,0.0
1999-12-28,17.15,7.7243,14.0901,-5.0072,0.0,0.0
1999-12-29,17.34,9.5191,12.5664,3.4244,0.0,0.0
1999-12-30,17.45,12.9839,12.7056,13.5404,1.0,1.0
2000-01-04,18.29,32.597,19.336,59.1188,0.0,0.0
2000-01-05,18.06,40.9069,26.5263,69.6681,0.0,0.0
2000-01-06,18.78,56.2357,36.4295,95.8482,0.0,0.0
2000-01-07,19.54,68.066,46.975,110.2481,0.0,0.0
2000-01-10,20.14,75.4633,56.4711,113.4477,0.0,0.0
2000-01-11,19.0,69.5066,60.8162,86.8872,0.0,0.0
2000-01-12,18.24,57.8387,59.8237,53.8686,-1.0,0.0
2000-01-13,18.14,48.112,55.9198,32.4963,0.0,0.0
2000-01-14,17.88,38.9852,50.2749,16.4058,0.0,0.0
2000-01-17,18.08,32.4778,44.3426,8.7484,0.0,0.0
2000-01-18,17.69,23.7772,37.4874,-3.6434,0.0,0.0
2000-01-19,17.79,19.0953,31.3567,-5.4276,0.0,0.0
2000-01-20,17.81,16.1978,26.3037,-4.0142,0.0,0.0
2000-01-21,17.96,16.4775,23.0283,3.3759,0.0,0.0
2000-01-24,17.5,15.985,20.6806,6.5939,0.0,0.0
2000-01-25,17.72,25.1011,22.1541,30.9952,1.0,0.0
2000-01-26,17.64,29.059,24.4557,38.2656,0.0,0.0
2000-01-27,17.89,40.4736,29.795,61.8307,0.0,0.0
2000-01-28,18.53,59.108,39.566,98.192,0.0,0.0
2000-02-14,20.37,72.6338,50.5886,116.7243,0.0,0.0
2000-02-15,19.44,68.0201,56.3991,91.2621,0.0,0.0
2000-02-16,18.83,59.6075,57.4686,63.8852,0.0,0.0
2000-02-17,18.8,53.7366,56.2246,48.7605,-1.0,0.0
2000-02-18,18.41,44.4663,52.3052,28.7887,0.0,0.0
2000-02-21,18.91,43.0345,49.215,30.6737,0.0,0.0
2000-02-22,18.25,35.4334,44.6211,17.0581,0.0,0.0
2000-02-23,18.1,28.0004,39.0809,5.8394,0.0,0.0
2000-02-24,18.18,20.6603,32.9407,-3.9005,0.0,0.0
2000-02-25,18.09,14.7702,26.8839,-9.4571,0.0,0.0
2000-02-28,18.56,23.2507,25.6728,18.4065,0.0,0.0
2000-02-29,18.32,24.6715,25.339,23.3365,0.0,0.0
2000-03-01,18.81,36.2516,28.9766,50.8017,1.0,0.0
2000-03-02,18.36,35.1481,31.0338,43.3769,0.0,0.0
2000-03-03,18.58,38.7262,33.5979,48.9828,0.0,0.0
2000-03-06,18.24,34.4449,33.8802,35.5743,0.0,0.0
2000-03-07,19.03,47.0809,38.2805,64.6818,0.0,0.0
2000-03-08,18.72,49.4265,41.9958,64.2879,0.0,0.0
2000-03-09,20.07,60.0717,48.0211,84.1728,0.0,0.0
2000-03-10,19.04,53.4326,49.8249,60.6479,0.0,0.0
2000-03-13,19.13,50.1648,49.9382,50.6181,0.0,0.0
2000-03-14,18.59,41.0365,46.971,29.1676,-1.0,0.0
2000-03-15,18.44,33.0205,42.3208,14.4198,0.0,0.0
2000-03-16,17.92,23.1006,35.9141,-2.5263,0.0,0.0
2000-03-17,18.17,20.0267,30.6183,-1.1564,0.0,0.0
2000-03-20,18.22,19.5367,26.9245,4.7613,0.0,0.0
2000-03-21,18.26,19.6682,24.5057,9.9933,0.0,0.0
2000-03-22,18.48,24.7064,24.5726,24.9739,1.0,0.0
2000-03-23,18.61,32.6167,27.254,43.3423,0.0,0.0
2000-03-24,18.5,36.9297,30.4792,49.8306,0.0,0.0
2000-03-27,18.79,45.1753,35.3779,64.7702,0.0,0.0
2000-03-28,18.69,48.8206,39.8588,66.7442,0.0,0.0
2000-03-29,18.49,47.5471,42.4216,57.7981,0.0,0.0
2000-03-30,18.57,48.1795,44.3409,55.8568,0.0,0.0
2000-03-31,18.37,40.453,43.0449,35.2692,-1.0,0.0
2000-04-03,18.28,30.2268,38.7722,13.136,0.0,0.0
2000-04-04,18.11,21.5498,33.0314,-1.4134,0.0,0.0
2000-04-05,18.35,21.3596,29.1408,5.7971,0.0,0.0
2000-04-06,18.48,29.3274,29.203,29.5762,1.0,0.0
2000-04-07,18.9,44.1893,34.1984,64.171,0.0,0.0
2000-04-10,18.82,49.9929,39.4632,71.0521,0.0,0.0
2000-04-11,18.9,55.9952,44.9739,78.0379,0.0,0.0
2000-04-12,19.1,61.4681,50.472,83.4603,0.0,0.0
2000-04-13,19.13,65.8063,55.5834,86.2521,0.0,0.0
2000-04-14,19.49,68.4863,59.8844,85.6901,0.0,0.0
2000-04-17,19.21,65.2853,61.6847,72.4864,0.0,0.0
2000-04-18,19.09,59.3427,60.904,56.2201,-1.0,0.0
2000-04-19,19.15,54.8827,58.8969,46.8543,0.0,0.0
2000-04-20,19.02,44.6693,54.1544,25.6991,0.0,0.0
2000-04-21,18.81,32.5573,46.9553,3.7612,0.0,0.0
2000-04-24,18.57,23.24,39.0502,-8.3806,0.0,0.0
2000-04-25,18.69,19.66,32.5868,-6.1937,0.0,0.0
2000-04-26,19.13,26.9224,30.6987,19.3699,0.0,0.0
2000-04-27,18.76,23.65,28.3491,14.2519,0.0,0.0
2000-04-28,19.05,29.8693,28.8558,31.8961,1.0,0.0
2000-05-08,18.8,27.6051,28.4389,25.9376,-1.0,0.0
2000-05-09,18.37,21.9451,26.2743,13.2866,0.0,0.0
2000-05-10,18.14,16.7016,23.0834,3.938,0.0,0.0
2000-05-11,17.99,11.8551,19.3407,-3.1159,0.0,0.0
2000-05-12,18.02,11.2704,16.6506,0.5101,0.0,0.0
2000-05-15,17.5,7.801,13.7007,-3.9985,0.0,0.0
2000-05-16,17.74,9.7145,12.372,4.3996,0.0,0.0
2000-05-17,17.65,9.7709,11.505,6.3029,0.0,0.0
2000-05-18,17.83,13.3767,12.1289,15.8723,1.0,1.0
2000-05-19,17.91,19.0117,14.4232,28.1888,0.0,0.0
2000-05-22,18.08,34.4136,21.0866,61.0675,0.0,0.0
2000-05-23,18.16,47.8508,30.008,83.5364,0.0,0.0
2000-05-24,18.07,56.1804,38.7321,91.0769,0.0,0.0
2000-05-25,18.64,63.0607,46.8416,95.4987,0.0,0.0
2000-05-26,18.32,60.385,51.3561,78.4427,0.0,0.0
2000-05-29,18.27,57.4826,53.3983,65.6513,0.0,0.0
2000-05-30,18.05,50.626,52.4742,46.9296,-1.0,0.0
2000-05-31,18.0,41.8931,48.9472,27.7851,0.0,0.0
2000-06-01,18.06,37.598,45.1641,22.4657,0.0,0.0
2000-06-02,18.2,38.2969,42.875,29.1406,0.0,0.0
2000-06-05,18.1,31.6475,39.1325,16.6774,0.0,0.0
2000-06-06,18.26,32.1075,36.7908,22.7408,0.0,0.0
2000-06-07,18.5,41.607,38.3962,48.0286,1.0,0.0
2000-06-08,18.7,47.7881,41.5269,60.3107,0.0,0.0
2000-06-09,18.35,43.1369,42.0636,45.2837,0.0,0.0
2000-06-12,18.48,43.2943,42.4738,44.9353,0.0,0.0
2000-06-13,18.59,45.5295,43.4924,49.6038,0.0,0.0
2000-06-14,18.68,48.7812,45.2553,55.833,0.0,0.0
2000-06-15,18.79,53.93,48.1469,65.4963,0.0,0.0
2000-06-16,18.49,49.2325,48.5088,50.6799,0.0,0.0
